path	label	pca_feat
s3://ad-p8-24/Test/Watermelon/r_82_100.jpg	Watermelon	[-22.76738588638943,4.789752543950925,-8.60055694180846,-0.853427269651214,3.0765016755340406,8.144155101757345,-10.62076529699712,20.6810701944527,-0.3745207535187599,-8.655907028215609,6.743740963273232,-7.0751148092583325,9.870429042742733,12.820459544455076,11.025783802381305]
s3://ad-p8-24/Test/Pineapple Mini/311_100.jpg	Pineapple Mini	[-10.842338636978482,5.423302935454519,1.5066390736672004,-15.038042644324944,-13.940411303100364,-2.987063922139997,-3.5594761044005,8.874103877922508,-6.682689548999395,6.374170345966632,-9.356711336339833,-5.831294585875947,-4.461158471758589,-9.33417500372038,2.4294214402743792]
s3://ad-p8-24/Test/Cauliflower/r_174_100.jpg	Cauliflower	[-6.020246083302889,6.32848546553245,2.1068199894028075,-11.799380772563989,-13.096296825966254,-1.2513353305433095,-4.574381504549119,-2.754259410481159,-0.9907139507590108,12.694569648026786,-7.9459685155158235,7.561127605320795,5.06913378988259,-4.20279526209179,8.20608615482959]
s3://ad-p8-24/Test/Raspberry/200_100.jpg	Raspberry	[-2.3598288574157325,-0.416726868849118,1.1142637387002288,-17.834553089366047,-6.000301433195988,-3.058281770396677,-0.8087877902556747,-5.935592583225516,-5.711340410007382,1.9212749228027906,-0.6440752856665629,-2.1183179565665595,6.593129851357707,5.464772952117513,3.855277326304938]
s3://ad-p8-24/Test/Pineapple Mini/r_230_100.jpg	Pineapple Mini	[-10.34588131834834,6.158108725522062,1.2976452785895667,-15.3328462995948,-15.458451277264366,-3.615808460858947,-0.9540388243945621,7.409204544638356,-7.580462945738965,7.718077547520719,-7.702577161567141,-6.402619538541144,-2.7126322392663647,-7.261560887698898,2.8408048902980965]
s3://ad-p8-24/Test/Pineapple Mini/r_174_100.jpg	Pineapple Mini	[-11.516131971494334,7.787410214136632,1.3637557759459706,-12.89978673230558,-12.899372373788996,-2.8750772131772857,-1.5326262292190833,10.498312657877024,-5.484435136709482,2.006849404942308,-9.848296939542367,-7.056957044400301,-4.163046744500967,-6.88143364203604,-0.11375158464671818]
s3://ad-p8-24/Test/Onion White/r_172_100.jpg	Onion White	[-6.057728196880786,2.915530907357704,-0.5619822018574254,-3.4157110608443704,1.1135530855030895,17.211783651136482,-4.658514655259729,7.016865634995547,1.1975847160575217,-6.976233757066149,3.7205018494478717,-6.118298138028817,0.5090034419833409,2.2127828024495733,6.937451417020911]
s3://ad-p8-24/Test/Pear Red/r2_91_100.jpg	Pear Red	[9.00020573479332,4.061407967956314,1.9563758157795783,-7.048124510087984,5.24128866818651,5.6268437495184775,-1.8137726301088666,-0.6340867334553506,-7.250931182270522,0.5722600456688447,3.1908966066790723,0.3203016065703892,-1.6005068984408288,1.92559748824411,2.6909875132318466]
s3://ad-p8-24/Test/Raspberry/r_309_100.jpg	Raspberry	[-0.46765032652910715,-1.1716003624540163,-2.575640860190187,-14.84176101382284,-2.3738950378022157,-3.5145831700115657,-0.9141263188516462,1.4982138361099344,-7.034378414719117,-6.491057909520305,1.6855720561534029,-0.34674222880760636,4.916800739354377,7.449083113627851,2.780894451594521]
s3://ad-p8-24/Test/Pear Forelle/r_179_100.jpg	Pear Forelle	[1.2180679246303192,9.50001463877677,1.0244176568094012,0.6748576965014459,3.1885372407099335,1.3676300893135893,-2.124818876259812,0.7695383063879333,2.169686228919929,6.323145986298567,-0.5842596472991811,3.586477268172348,-8.26198467489791,2.9203800168982834,0.37953507981606194]
s3://ad-p8-24/Test/Rambutan/176_100.jpg	Rambutan	[-19.41540132950499,-0.25981756867112227,-5.072286417704754,-14.994657494463207,-10.597643145744746,-14.77793240605894,3.0691292427892565,13.726745213165199,0.9424862316595246,-5.1835142286473515,-2.5936030142138735,-13.04038072875747,-14.739130486705807,1.0529345618140828,-9.29937542852543]
s3://ad-p8-24/Test/Pear Red/r_114_100.jpg	Pear Red	[6.948342299127237,5.613582871392959,1.6160203648280997,-4.8760489215839495,5.338687748491157,7.3164307747513995,-2.6563867520501043,2.9842814509230347,-6.213013706300048,1.4919523893560138,8.30762636150778,-0.25900555965579586,-2.346912988605035,4.977797564030312,4.469575378909803]
s3://ad-p8-24/Test/Pepper Orange/r_98_100.jpg	Pepper Orange	[-1.9396616290545636,-7.234814889402178,9.564890196157682,-3.828399675974293,-9.684280752832922,11.665548962175635,-1.7199274029359117,2.865642671608873,5.785527070611994,-0.747743376542827,7.272571150503725,2.204085094555956,-12.826272416630434,3.749482236658476,-2.0982225198058804]
s3://ad-p8-24/Test/Cantaloupe 1/r_61_100.jpg	Cantaloupe 1	[4.972707598147433,10.507792604351526,1.5749152862137659,3.6843066878109343,-7.6277041738363724,-4.359176122401697,-8.52381201912351,-1.4151119729843684,3.2232195511850654,-2.162210430743395,3.690733604573559,2.095859204752398,1.257155697947742,1.0210533482902489,2.7165135446799185]
s3://ad-p8-24/Test/Cantaloupe 2/r_239_100.jpg	Cantaloupe 2	[-1.7875212213070657,12.28421202635743,-5.731050309381782,2.0978972498827866,-1.5794384545093767,-1.4870973436511592,-12.242816215806528,-0.9327604006815498,1.5324396310228068,-1.1155780130145272,-1.8786727262040128,6.612113230822226,2.085099413671976,4.888124289548015,1.5324390304857638]
s3://ad-p8-24/Test/Pear Forelle/r2_21_100.jpg	Pear Forelle	[1.941815001643809,7.8052893869855735,-1.771410908113898,2.1952097809748325,8.42077183675139,-5.39379236047931,3.9027692333114357,0.997409700886767,4.650180139654562,3.7749100832287716,-1.1841380713015037,5.478199071313125,-1.0622805220980374,1.9870975688326122,-0.7593303100682228]
s3://ad-p8-24/Test/Pear 2/r2_90_100.jpg	Pear 2	[7.412098455995515,9.29477700361795,5.926700463928749,2.182294006875916,7.462987190669113,-0.10191802328062892,1.401515278261702,2.2702292106684236,-2.845187466794825,4.093047804637522,-2.388305157605716,4.534836813055612,-2.04595635949893,5.689189467767588,0.973457286919849]
s3://ad-p8-24/Test/Beetroot/r_180_100.jpg	Beetroot	[-1.539277555532284,8.461259947580583,-2.4823986900850987,0.01960771053095695,2.727369444205306,1.4129261358216818,4.020312023158442,1.9418478088441746,-1.5137437288177236,-1.0238470247023088,-1.8931176426101441,-0.3817479330917284,-3.5698401344236896,0.574941855062858,0.28575458640263623]
s3://ad-p8-24/Test/Cantaloupe 2/r_224_100.jpg	Cantaloupe 2	[-5.2294423737796025,13.428360618747359,-7.08522843189598,4.215661721668339,2.2687299245651933,0.39585949237794005,-11.156325845299193,2.958295266536382,2.679600136709162,1.0486119891171608,-1.4953962642913243,6.327571235411189,-1.8920212389080544,6.169317019146058,0.33486193561328]
