path	label	pca_feat
s3://ad-p8-24/Test/Cucumber Ripe/r_163_100.jpg	Cucumber Ripe	[-6.776510556418356,2.4401530133157117,-0.5392328113777947,-3.8104239958670845,7.982350094041874,-2.01462001070647,-5.97391326898484,1.9810486680966974,4.440540853524403,0.09541850633762547,2.9321630264676837,-7.309920072272342,1.2762093015435887,3.698648914055451,1.2078338337435908]
s3://ad-p8-24/Test/Pineapple/18_100.jpg	Pineapple	[-11.056107478598628,5.084584473909342,-0.3258946596055058,-13.14870198201979,-11.248837177562198,-3.271144483448726,-2.2446790066190467,2.967202247888362,-7.401901998473386,11.531092775498307,-8.993176291560275,-7.415941885960693,-3.2859971949383175,-8.007990062008115,-3.6003590202125184]
s3://ad-p8-24/Test/Pineapple Mini/r_46_100.jpg	Pineapple Mini	[-13.949738837136636,5.782680192082193,2.0416292717168645,-14.49586846827605,-12.909858012789268,-2.8088998246877996,-5.1096518542148335,10.570472382467335,-6.663411352261108,6.776060477003243,-10.72736532911051,-1.955716529144706,-0.941388496618579,-9.460755521722126,-1.7605869042805513]
s3://ad-p8-24/Test/Pineapple Mini/r_173_100.jpg	Pineapple Mini	[-12.392497087718986,7.0112984445853,1.5389468271961888,-12.947192494804085,-12.638391219172124,-2.9830903069836046,-2.272272397301263,12.334435821538777,-6.1327196243615045,2.5859028116386877,-10.419904771429755,-6.807982956194035,-5.544578461243548,-7.399872430343838,0.768774540558481]
s3://ad-p8-24/Test/Onion White/r2_12_100.jpg	Onion White	[-8.187168822213788,3.057921587988979,-1.2345687700092534,-2.1560143896887833,7.123119599196549,17.556513842703698,-9.164810043509961,17.31316923590278,5.572956801543599,-4.464792237445917,5.151486481513333,-8.11099232347442,1.107152004157792,4.440418504260481,7.444771962969373]
s3://ad-p8-24/Test/Onion White/r2_24_100.jpg	Onion White	[-10.48152311088991,0.20935875951910368,0.7421300363483841,2.4502039524403805,8.438522946947458,14.675130046042451,-6.954148467878562,16.917550727917998,9.729180738420363,-1.5408223370764236,-0.5667556012291375,-7.365956065214652,0.5480135639569041,1.525920894865742,3.129359257665505]
s3://ad-p8-24/Test/Pear Red/r_105_100.jpg	Pear Red	[6.378301912577563,6.997513825141164,1.8471237484543497,-5.264784806048371,5.917147108343671,5.858314641987984,-2.586872276259369,2.9598150402127965,-5.848949727371693,1.6954724855545593,8.869603891559791,2.360959340446863,-1.5699381628752052,5.403499242053726,3.428160492415407]
s3://ad-p8-24/Test/Pear Forelle/r_18_100.jpg	Pear Forelle	[-1.2428998744437767,9.270883061663918,2.3304031693104736,1.6103512206670796,10.766081462524083,-6.665679900312218,4.140927732426129,-2.1369176881021827,3.656027723915484,5.307405969803696,-2.796845473196659,5.074344556441611,-2.7635155614703244,2.286949431648388,-1.0621437489647583]
s3://ad-p8-24/Test/Cantaloupe 1/r_139_100.jpg	Cantaloupe 1	[5.386909391180413,10.153174165758323,2.977956168377059,3.1093697629854384,-5.401245013564573,-0.7522998922626234,-5.539235302921119,1.7753392835044566,0.3807334127366067,1.238657050867767,3.9973344342464068,1.8529595136155275,1.7191256691684182,2.289214870452158,0.6383756583882357]
s3://ad-p8-24/Test/Pear Forelle/r_142_100.jpg	Pear Forelle	[3.61558547370892,13.293802835706167,1.607941249103132,3.028015604471573,6.416767929508252,2.395253034077947,0.8813830576194767,6.56721602642972,-0.12078298117251063,7.885827372601151,-1.8847746852204783,2.245462952240863,-9.632930531105561,7.090453770629561,-0.015965225778229113]
