path	label	pca_feat
s3://ad-p8-24/Test/Pineapple Mini/2_100.jpg	Pineapple Mini	[-10.627324724666755,5.10202182917272,2.7306071554350426,-14.70313866647101,-13.441846130958723,-2.4021001940910627,-3.210411769415019,7.634264488576882,-6.744073942982359,8.644405152613494,-9.777902080184202,-6.543492598972407,-6.022350600726292,-10.932998853680298,2.5164956075120384]
s3://ad-p8-24/Test/Cauliflower/r_248_100.jpg	Cauliflower	[-18.58304229254198,1.510242317367837,3.8625335702715207,-8.021498910266589,-11.369624413624514,3.0477657154906077,-5.218443670690233,-1.197780854965331,5.2326872445050485,13.497935603406956,-8.382340842224972,14.283077816898201,7.008012471092143,-6.876592681995872,7.579862350544745]
s3://ad-p8-24/Test/Cauliflower/r2_186_100.jpg	Cauliflower	[-4.76589852248884,5.9707271553431225,2.9053727538259992,-11.052280381686742,-12.364969029424882,-2.3531119366707087,-3.8947454820030307,-1.7028180741016725,-2.0597557679912133,10.88949084097313,-6.38240551201439,8.403692118617753,1.6127935876455417,-4.208582750193227,7.705808869077253]
s3://ad-p8-24/Test/Cauliflower/r2_54_100.jpg	Cauliflower	[-25.868566124813068,0.7072625134405439,3.5301472633338276,-8.045293504288022,-9.906071719728978,8.15202133096604,-6.417724362945728,13.444748184844915,4.368558097225051,10.432346223505084,-7.659079708651005,10.676535935105864,2.935599827403661,-1.8656847005419213,2.7541195453998086]
s3://ad-p8-24/Test/Onion White/r2_0_100.jpg	Onion White	[-11.275364718350062,0.8055194412513755,-1.7580035035943986,-4.798494374321917,5.19020884860995,18.868485979528725,-7.155183675936761,17.094775193646964,2.4683182216293282,-7.810512077823751,6.814645856013329,-9.348294542741778,1.0126456701715705,6.445773620019024,5.936713348414923]
s3://ad-p8-24/Test/Onion White/r2_2_100.jpg	Onion White	[-7.69690581011618,2.6219247269531896,-2.306947299423482,-3.6281634418638133,4.092986748014968,15.70537883502824,-6.346365145241713,13.128756976806862,0.8779956345954127,-6.248323518797538,5.323434662636812,-10.331595920762567,1.2056223031023985,4.1440534719076,6.715742214450591]
s3://ad-p8-24/Test/Rambutan/177_100.jpg	Rambutan	[-16.929346847213793,0.2713060725784659,-6.32444912478437,-14.961107848805264,-10.71952079297148,-13.965517319501558,2.837096256345097,14.337517245354729,0.42602507708365167,-5.060342136931698,-1.8414529425593944,-12.400403453908034,-13.4678017789326,0.6263492303589359,-9.036917492405394]
s3://ad-p8-24/Test/Strawberry/5_100.jpg	Strawberry	[-1.5433427251290641,-1.3636776271745548,3.0646749171505334,-15.766647762149528,0.6920908707021988,0.9803831843169041,0.4007533221757946,-9.160677791041627,-6.249391740452233,-1.6912945725824258,2.072003762910402,-2.3776443899435975,2.0029664371562608,3.2160302841347406,2.289927468011588]
s3://ad-p8-24/Test/Pear Red/r_116_100.jpg	Pear Red	[6.062866097476031,5.168285605720142,1.2051495897721625,-4.694514059785314,5.155822107273626,7.263459186221004,-2.4101133889100237,2.9242111160185495,-6.52404788751126,1.8525672006117777,8.062594807225107,0.6164184316202467,-3.124490996398233,5.97284280801208,4.184886636441245]
s3://ad-p8-24/Test/Cantaloupe 1/r_81_100.jpg	Cantaloupe 1	[3.7637150508394224,8.049028807809986,1.7058548303242065,4.563772997749268,-5.1284182117536785,-0.7957368952718231,-6.626931226968502,0.6872734532241521,1.62192787192082,2.3561309691434866,4.6979912430283335,0.8471392368953168,-0.7559207212057769,1.2874100012454366,1.3846375492620107]
s3://ad-p8-24/Test/Pear Forelle/r_309_100.jpg	Pear Forelle	[5.0422139110628725,10.747270810673268,-2.7993406350968586,2.3666702195000657,7.1951209913668945,-1.9724295466251494,0.9165608216933597,2.4440770560679326,-0.7590828967885134,3.7750960200443666,-1.594361366058763,2.17026696218176,-3.748050572577743,3.5129879579755623,-1.3525279174970135]
