path	label	pca_feat
s3://ad-p8-24/Test/Watermelon/r_171_100.jpg	Watermelon	[-5.965647901354994,3.393520788513437,-4.434473748163649,0.39075366859263877,0.5775860842932063,2.584808778974722,-5.42652040226912,0.4575684897410137,4.785875485190252,-4.0283170564292545,-3.339922407322483,-4.140730215229769,7.61984055851657,5.245883397875622,6.938548796986014]
s3://ad-p8-24/Test/Cauliflower/r_180_100.jpg	Cauliflower	[-7.015170868226251,6.092973981458173,2.7509438455677504,-12.713105968290945,-13.679346980595165,-2.076850832927908,-4.761732462912888,-2.598682661361234,-0.8282028434926825,11.84896780086644,-9.251319972347357,8.526166512902654,5.560144500873499,-5.165641374195277,9.274310834073628]
s3://ad-p8-24/Test/Cauliflower/13_100.jpg	Cauliflower	[-8.286206744059903,4.547552654231441,3.3776949921476227,-9.819473826385135,-11.438343179376483,0.3904692986848055,-1.1049584497531302,-1.8057600321229423,-0.3815042530674185,11.245392603160392,-7.6663490493401385,10.00679822557249,3.6033395249671782,-5.661814361500833,9.912242325952644]
s3://ad-p8-24/Test/Pineapple Mini/r_238_100.jpg	Pineapple Mini	[-12.049199648025267,4.536708303197354,0.0037072334888781644,-14.70037287303934,-16.825835122656024,-3.985258175790058,-1.6508127414858687,10.184420352202615,-6.217158699336185,5.640368145825703,-7.008765362138921,-8.363952732420055,-4.3884381496190015,-8.209302892032383,-0.37950502086738486]
s3://ad-p8-24/Test/Cucumber Ripe/r_173_100.jpg	Cucumber Ripe	[-9.02891232282337,1.807431318460326,0.31933126826735436,-2.457931308031843,10.859194031285567,-2.8455358422043058,-8.38969022830533,1.1257866972836592,7.218110406647259,2.679313668405144,2.999648939422753,-6.452933167181572,-2.762225687507228,2.3709401768347154,3.0736245669370863]
s3://ad-p8-24/Test/Raspberry/r_232_100.jpg	Raspberry	[-9.010176741453812,-5.108076936311683,1.146950692735622,-15.611368540811695,-2.8261667050105177,4.741535382811432,-3.1712059733823335,9.358425468574568,-5.7014964387126765,-11.80798909681851,3.3004674833449643,-3.9989095471662255,4.15546571113492,10.414939137788174,1.8099376697488043]
s3://ad-p8-24/Test/Pineapple/r_225_100.jpg	Pineapple	[-6.763411405545019,5.124127484942778,-1.7958138804974895,-11.966184895475344,-11.076568067940306,-6.132037592025075,-3.5283926288580165,0.4441023356060593,-7.569651087540034,5.985924089132293,-5.393781803015651,-7.342970219773529,-2.1296489584750615,-5.1656731651370045,0.4120863732760191]
s3://ad-p8-24/Test/Nectarine/r_9_100.jpg	Nectarine	[9.618406329171986,4.2903956285969596,0.7005613894837848,-8.360459490399208,5.287920081647268,-0.7530317789884028,-0.5707700286840303,-2.6729552851918026,-7.67522524123273,-0.14992432227741403,1.0082774896417517,1.362912418549453,1.7091183517648423,-1.1306173708935472,-1.4752139530559256]
s3://ad-p8-24/Test/Cantaloupe 1/r_133_100.jpg	Cantaloupe 1	[5.128362172806429,9.287151502024967,1.854526209604582,3.1694218974825055,-5.261992195636364,-0.6018157235965663,-6.292766581658214,2.137886549739683,-0.4887701482741758,0.8916316590886417,4.466949543941099,1.6028790756955924,0.9136111444259598,1.86085201522949,0.7243459145624473]
s3://ad-p8-24/Test/Cantaloupe 1/r_80_100.jpg	Cantaloupe 1	[3.4616313757730452,7.627918065826963,1.8987116670870248,5.203080653500786,-4.303081145615941,-0.853985388067176,-5.8040444491056435,1.4691275712943832,1.6689379521896521,2.7289231841410833,4.412879010594304,0.424244059078744,-0.9532803965221274,1.3199460273202577,1.8153267591323994]
s3://ad-p8-24/Test/Cantaloupe 1/r_108_100.jpg	Cantaloupe 1	[4.919857008904816,5.967838640448528,2.0455872642071506,2.512668840271834,-5.3316155509896825,0.8399656743195077,-5.5447253972457915,2.9016373724298696,-1.605859245014461,3.9788021427697213,5.692901265288178,1.3774173953539253,-0.19647981704783785,3.140689722434065,1.6048426780224672]
s3://ad-p8-24/Test/Cantaloupe 2/207_100.jpg	Cantaloupe 2	[2.333397345431567,14.775752583160088,-4.167160760000258,2.462802946360237,-3.013095488693809,-3.23450252520625,-9.845590015328055,-2.489577923658597,2.2325333957269504,-0.42132895674573767,-1.5332279452623907,2.7483068181372,2.494726073436411,6.87552547056665,-1.2406987085115746]
s3://ad-p8-24/Test/Pear Forelle/r2_188_100.jpg	Pear Forelle	[2.416057195376009,11.837083502520983,3.908333563354135,0.5859599396705354,2.4373019417348387,3.0391420769229325,-2.0203128397132506,2.0868928943769793,-0.6268586051339795,9.452578373616626,0.6330567940266395,3.3331702217464434,-9.613695893734148,6.363653488288164,1.8205481985053529]
s3://ad-p8-24/Test/Pepper Yellow/r2_166_100.jpg	Pepper Yellow	[-3.916442643546996,-6.388481298583165,9.731981055138647,-0.916397154083497,-5.378633850664081,8.853943869834303,-1.1363051572049243,-1.9560787505390922,5.643093436951409,1.6427935829045843,6.542954559969287,-0.728784978526779,-7.720128296762157,3.745160305396279,-0.5405243578516522]
s3://ad-p8-24/Test/Nectarine/84_100.jpg	Nectarine	[8.332906686928537,2.721033054953942,3.0398497544009224,-9.081106148313063,5.070690076651204,-0.9317020188645909,2.5707044445143903,-2.6504790048060465,-6.447647417673816,-1.7975880682174834,1.5267455313056977,3.80158417080502,0.5693221793649508,-0.07270275490549566,0.8801349098950617]
s3://ad-p8-24/Test/Nectarine/r_56_100.jpg	Nectarine	[11.277708969501685,-3.023546450708189,0.11561387674827979,-9.75340094597809,7.65855147779898,-0.9658107702374406,-0.8983390867640839,-1.3592456211971902,-8.723371818264795,-0.42633957088700586,2.6305917359585136,0.5561200958412317,2.7398872982939073,-0.880799764746912,-2.8252428763752553]
s3://ad-p8-24/Test/Pear Forelle/r2_300_100.jpg	Pear Forelle	[-0.0815747880090704,15.32279852812939,-1.6242911414468408,4.672081013911515,7.047627508836219,-3.8991502074571716,5.248142778881845,1.6377838906164575,2.718178834516365,5.411327496184329,-5.249121459218426,5.582892598580638,-2.7619853349986405,6.757134668290522,-1.7937487239653318]
s3://ad-p8-24/Test/Pineapple/r_130_100.jpg	Pineapple	[-2.8861639554282577,6.03785517488554,-0.6123353450444087,-9.760834699980828,-10.153788066000628,-4.178522937666763,-1.9475753255743784,-0.30999861553014335,-7.492668946115739,5.3452693949844425,-4.961587336086113,-4.748318651259507,-0.16652258911420745,-3.6471405042579654,1.711847495957596]
s3://ad-p8-24/Test/Cantaloupe 1/97_100.jpg	Cantaloupe 1	[6.830346945082989,11.598874891533555,1.491736246278326,1.8394315345631818,-7.4195577373434665,-4.080884580052023,-5.575389002218308,-0.9849009185444755,0.8480961010768431,-0.347089220800923,5.462333008868966,1.8572063724370313,2.4338843353497106,2.677532401427078,2.051825956595003]
s3://ad-p8-24/Test/Limes/168_100.jpg	Limes	[6.460308182950912,11.388432467506624,2.973633649741257,-1.5776529241628285,-5.973051684657954,-0.44989954455101855,1.8523588364362862,-2.9881262995113658,-2.7759852330719648,3.0935855236719214,4.28710359841185,5.182739274109833,2.3826947664225497,-0.02122766645612196,1.2935451630026156]
s3://ad-p8-24/Test/Orange/r_82_100.jpg	Orange	[9.26863084109764,8.480092776715656,3.0377230175831285,-1.5803469672143475,-2.4510952585691093,-4.098442420049545,-0.5087192580226241,-2.7258747621861366,-0.3800231465024275,0.5049439157121594,7.318700130261358,2.878320650949041,-0.3394634972140639,-3.8536779355888724,0.5429996653540882]
s3://ad-p8-24/Test/Mandarine/200_100.jpg	Mandarine	[6.929754921402719,10.82541458654778,3.7968827784123484,-5.0321854074213554,-2.4311044516446008,-3.8193953548515234,-0.7075940881380545,-2.1545105842388788,0.8614918421729214,-1.4726680131327268,9.465179644926085,5.408588617052294,3.170607408271831,-4.220876347330335,-0.19659093012385837]
s3://ad-p8-24/Test/Limes/173_100.jpg	Limes	[6.019125721606129,12.723398861591106,3.234625059631997,-2.25397916416952,-5.450203095699666,-1.6006039588718606,2.1070001003167924,-3.231077025184811,-1.9121860095778067,3.2219507907552956,4.5814660558570255,6.315270937325092,2.464440811171433,0.584782128501796,1.3011826329065492]
s3://ad-p8-24/Test/Apple Golden 1/r_327_100.jpg	Apple Golden 1	[2.739601403081407,14.183414483874694,3.639335215379798,6.618615860810229,0.7084830580744361,8.692870438881858,-0.1970328026404849,5.001827094507248,-0.6619373915839555,4.420868291222563,-5.770984415591112,0.6841078330158116,-1.8592199171435835,4.8128264023950695,-1.5350383286468516]
s3://ad-p8-24/Test/Pepper Orange/r_62_100.jpg	Pepper Orange	[-8.503578490505088,-12.454508145928305,12.666066694537426,-1.0014606222967832,-1.4429622486543583,6.773909343773563,-0.7424048594794346,-3.1282934164689578,6.970562955887681,-3.250272424417536,4.46156324986978,8.974125875350255,-12.155500849205998,5.694920858398287,-0.8114158030347356]
s3://ad-p8-24/Test/Pear Red/230_100.jpg	Pear Red	[3.4446825768243934,6.553910716730799,6.84524326470613,-8.84573151161976,10.251094241982416,1.6489781450150114,1.4609026603513424,-3.8608613387108717,-1.418371661441154,5.349759453555571,4.2389717380914105,1.7452226040393042,-0.6908598142061368,1.8547410650986593,3.4474161260348106]
s3://ad-p8-24/Test/Clementine/r_73_100.jpg	Clementine	[7.34577892373909,-0.9637625864446765,6.714002195089527,-5.849233098347138,3.9118718306171503,1.6207639882401008,0.6834630062736339,2.693018085988902,-3.6519447876549274,-0.8019401172381405,4.2148757156629895,4.209285984165748,0.17214389587412682,-1.667429137255308,-3.0730640180129902]
s3://ad-p8-24/Test/Apple Red 2/r_84_100.jpg	Apple Red 2	[8.26017308263183,4.444173342690821,4.125457184918743,-2.0241028944585873,0.5031536221972593,5.770802301763071,2.876051294017997,1.8599476499274208,-4.765526332091754,2.347209129892283,1.282740546156629,-0.12299144368719381,-3.540326622103784,2.787518836735631,1.4070172032191945]
s3://ad-p8-24/Test/Pepper Yellow/r2_148_100.jpg	Pepper Yellow	[-4.031953618814951,-7.610692261472684,12.346027093897339,-2.1760627143011875,-6.227721204114309,9.066473572522817,-4.465980816725244,-0.638157371417723,8.612173621812367,-0.15143755610469767,9.913223778413826,1.3759153715464856,-11.923550563491206,4.8770591096808005,-2.4233174641813506]
s3://ad-p8-24/Test/Apple Red 3/r_44_100.jpg	Apple Red 3	[1.6742715130784949,5.026730665631409,-1.397055834252899,-3.6694644003937604,7.06143373804446,1.4967559388218554,5.167821853654325,-0.33612187676223615,-2.012369320939273,-1.4106977806307102,-6.119892388259965,1.0471272052379277,-3.727912377381513,0.4323014750408155,-1.924558019869326]
s3://ad-p8-24/Test/Apple Red 1/r_55_100.jpg	Apple Red 1	[3.7928120553465425,5.060763889701234,-1.850453291606594,-0.4458122324460903,4.508187187290128,10.85044609207946,-1.226023848470159,3.1892634353254565,-3.582850379242528,-1.8656976762169686,0.9044018021893553,-3.1292235039078955,-4.792369577958397,1.6869529277864577,0.048493584622023425]
