path	label	pca_feat
s3://ad-p8-24/Test/Watermelon/r_47_100.jpg	Watermelon	[-9.593843540494513,4.868111476291463,-5.5765690476831535,-2.3354345268956505,1.272554703323303,3.61086989161812,-1.6244778471216268,9.506468734580052,3.2059450368132194,-5.838602676746946,0.927591550746141,-2.441392153027678,7.836505717541033,9.065204012694235,6.957821195223101]
s3://ad-p8-24/Test/Cauliflower/r_228_100.jpg	Cauliflower	[-11.0505606147154,4.122091350509003,1.217853278646576,-8.626744406612845,-12.885941166511584,2.7903662467008608,-5.776904348817513,-1.8462474436256753,0.5631918805900276,9.035133140816152,-7.805492612580911,8.133804412488951,4.241018791235647,-6.114132440415053,6.156188193042119]
s3://ad-p8-24/Test/Cauliflower/37_100.jpg	Cauliflower	[-10.6650797654343,5.597463309866187,1.992451737027988,-10.374080233188721,-12.957370198614944,-0.8567663465424181,-1.155641222379188,-0.5473051507573515,1.657429572749943,9.166307799134097,-8.065154983411166,11.654523360044687,4.025395241871563,-7.135220932443971,7.466349297362557]
s3://ad-p8-24/Test/Cauliflower/46_100.jpg	Cauliflower	[-9.641215059879324,4.924427961843174,1.6960964965260712,-7.453011695639142,-11.936887207681771,0.9178890808376782,-2.913458195423536,0.3239799949089241,2.266882866124188,8.251159664217596,-7.685071640926326,11.110008256326932,3.649361465479221,-5.9077085730159835,7.076737815292094]
s3://ad-p8-24/Test/Apple Golden 1/86_100.jpg	Apple Golden 1	[2.4662785432983116,13.729207974886782,-0.35964250641497614,1.9269360185992948,-3.3886003504529154,2.507644162143976,-3.27491292251305,-2.9664611753295698,-0.933952161733762,0.47565544001855625,-4.8651101592472585,4.574589223138834,2.24055839285658,0.43503530917973526,2.78364163602422]
s3://ad-p8-24/Test/Onion White/r_2_100.jpg	Onion White	[-8.89477147789173,-0.056991386324068284,1.8061909876746955,-5.73586287388298,5.045398278626917,17.71435713077316,-5.884585180633951,14.163585470156981,1.3377908309499411,-4.3958598438353,5.215905814551143,-8.10847801446286,-1.8426878219672147,4.907162518881915,9.67769993865946]
s3://ad-p8-24/Test/Pineapple/r_84_100.jpg	Pineapple	[-9.480814111445898,6.75201489982322,-2.0261785848891303,-12.646695535976113,-9.51459179784775,-6.740120456895284,-4.820860960820747,2.1762690452987474,-6.780655758717837,6.1792953078599195,-8.09784370718587,-6.072248212629719,-0.37272291523696477,-5.718786260010079,1.3953531748657364]
s3://ad-p8-24/Test/Onion White/r2_86_100.jpg	Onion White	[0.8999525812500183,7.89176868374522,-2.081103380991368,1.6482019720572818,5.319814038663831,12.475143529169095,-1.2360648538316898,5.2224489998805375,-0.5773155252885033,1.5891107158206716,-3.6317799386051934,-1.3809231535686357,-2.9226390242635683,-1.352139698134481,1.2797088107641723]
s3://ad-p8-24/Test/Cantaloupe 2/266_100.jpg	Cantaloupe 2	[-2.1028462842733733,11.538404782136805,-6.6959116456590575,3.6779399122053817,-5.167844932956494,-5.733221940561873,-7.98040252774761,-3.930014388560486,1.8104159384425988,-2.7758279071624368,0.0965484698994215,1.9651394282492187,4.311336639850608,6.769981634910548,1.856045697025988]
s3://ad-p8-24/Test/Cantaloupe 2/262_100.jpg	Cantaloupe 2	[-2.0672181991751417,11.524097938531304,-4.240298396524449,0.8089492333207762,-5.437199928955949,-7.438060457426457,-8.498862592574099,-5.481309650439892,2.596862333609805,-1.963623262104868,0.30978389989007804,3.9311228584961952,4.359728862428932,6.869142771262882,1.7951769394666077]
s3://ad-p8-24/Test/Pear Forelle/r_219_100.jpg	Pear Forelle	[2.7601192575129097,7.682397734814693,-1.1275519132260905,-0.28432812961115267,4.404773652337782,-4.497877503647769,-2.451817711466575,-9.652972771658659,1.6367154606808239,4.652805974851558,1.6671330146354335,1.2532762539055915,-4.103448347722415,-0.7012239536220942,0.6236281306773913]
s3://ad-p8-24/Test/Cantaloupe 2/211_100.jpg	Cantaloupe 2	[3.942563194482854,11.962908564675018,-5.284513165982839,3.2157015678943073,-3.8787981629788337,-3.2589425119063935,-8.65223391192583,-2.447970294855158,0.6538487534659583,-0.535258856098518,-1.7344721422304066,2.168763447778377,1.013268427574565,5.522544692936934,0.7545709700754105]
s3://ad-p8-24/Test/Nectarine/73_100.jpg	Nectarine	[8.700286128763176,2.0393037992278296,3.146553717087918,-8.925106270273384,7.289272024792974,-1.186534730189489,1.549531707977646,-2.929417205771914,-6.10267019422477,-2.602353031880296,1.8480753807025767,4.478958946113239,0.8540555975437114,-1.3257550908789137,-0.8445057405375139]
s3://ad-p8-24/Test/Pomegranate/39_100.jpg	Pomegranate	[6.922363179110032,1.7021456585314845,-1.3335607655068877,-8.18841381144688,11.225367161715553,-1.9464086802807563,4.24534433306647,-1.063451371260852,-7.493787721240325,-4.475805358541271,-1.7808248455752576,4.775734994393739,2.1420155208559657,-1.2396842071774163,-3.4916180552167306]
s3://ad-p8-24/Test/Cantaloupe 2/r_201_100.jpg	Cantaloupe 2	[-5.705652165894061,12.18345500187515,-6.380791711033533,3.252750292631796,0.9558327582738754,-3.051442281391262,-10.364375932270079,0.3664970268095442,0.2595324015282237,0.3366218579059888,-3.189509974627193,7.1392734684385495,-0.3036324839000411,6.786743432964885,0.15575249275085523]
s3://ad-p8-24/Test/Pear Forelle/59_100.jpg	Pear Forelle	[-0.6254155373429372,7.446063536005081,0.7865221749563236,-2.3760966068466502,6.438562860720074,-6.8583010618825515,1.5942373426900804,-8.182050901069072,10.491878672922898,1.7953787326129897,0.49107641103495675,-1.8789648035139188,-2.0833036123236517,-0.3521090834736767,1.4855139857840982]
s3://ad-p8-24/Test/Limes/r_194_100.jpg	Limes	[3.3797554514492734,13.777781409011329,3.135256793475882,-1.5538934006440162,-1.5350457476533654,-3.6120884811551353,6.559690956688099,-0.7109647954804981,0.44928107874003753,1.5552769300174698,1.6555373838289862,8.79156938478405,2.9564507436488543,3.5234662277232034,-1.4532004680171595]
s3://ad-p8-24/Test/Pear Stone/r_79_100.jpg	Pear Stone	[-7.436005512503315,4.725396101411988,-6.643794871212815,-3.8513385335157193,2.3762659141759337,4.449471077618192,-4.709352487386024,-3.1881455135844377,0.6028904605079265,8.325654748687908,0.30685808708227025,3.1758537299509224,7.8311437586864665,2.6843972308435355,-3.0800447458839404]
