path	label	pca_feat
s3://ad-p8-24/Test/Watermelon/r_95_100.jpg	Watermelon	[-15.389245847743462,3.50245822710196,-5.9145903126689365,2.2442133246222666,1.1586339036154765,12.399975262621533,-6.949109495478816,14.00548141283852,2.3532540619950697,-6.48220807863124,4.810203573959594,-8.16834934409831,9.657704948168123,10.287139197030099,10.552063412795881]
s3://ad-p8-24/Test/Raspberry/79_100.jpg	Raspberry	[-3.6138212335414006,-3.5727798719989656,2.340425800484179,-18.994360990521514,-5.761800198503676,-5.6025768659024315,-1.3418091306728124,-4.390081337807509,-6.337441927446621,0.3488035405243809,0.9992864048538728,-4.045348090293352,4.9379681454749305,6.65638818167738,1.8747138267235046]
s3://ad-p8-24/Test/Cauliflower/10_100.jpg	Cauliflower	[-6.724340575745745,4.840620330725233,2.7212111816456774,-8.5308352072469,-10.386189800955375,0.12252260002376747,-2.0933333564494845,-2.6900676429253987,0.12775953343590402,10.60587255447616,-6.320119092642479,9.615862789038344,2.24100946384762,-3.5756575813600753,9.59947885929605]
s3://ad-p8-24/Test/Cauliflower/176_100.jpg	Cauliflower	[-7.532642057269013,5.544929671827952,3.9075863502406065,-9.213415363586547,-10.42939057552917,0.13588790825848232,-1.3063824991665616,-1.560726549234609,-0.03456123130124609,9.155745203360416,-6.576084266369189,8.069390285862797,2.5852456533620334,-4.660776953122297,8.139081461585247]
s3://ad-p8-24/Test/Cauliflower/226_100.jpg	Cauliflower	[-9.072079982338932,5.85194729520961,2.7450104165851155,-10.88911622288816,-12.160914633254416,-0.47510714413171534,-3.1388378419596297,-1.9402496314976687,0.4729784613920045,10.196336358206983,-8.558700378303582,9.334902087112056,3.936161375159721,-4.910760634742447,7.431575590855827]
s3://ad-p8-24/Test/Apple Golden 1/97_100.jpg	Apple Golden 1	[2.1934915975237534,14.410060717497705,-1.0672976621823347,1.0001935273001692,-3.6558410925671923,2.488855538276269,-4.40260950333532,-1.5788488242839718,0.8390905908007813,0.8566167892258227,-3.5279057861468144,5.770533523356818,4.7042721280309925,0.9531109802783484,1.7095510807875465]
s3://ad-p8-24/Test/Lychee/315_100.jpg	Lychee	[-8.637274592117771,4.95237286539101,-0.3558524848620795,-15.65302148401269,-6.202474657312779,-12.296848683298998,-3.0089234450329836,-2.6930985248097845,-2.664567117843922,1.6166724634283238,-4.979171268190686,-1.1193444757405513,-1.9959162993202857,1.8738329969809018,5.223949216427646]
s3://ad-p8-24/Test/Lychee/92_100.jpg	Lychee	[-6.286557816478391,8.865193427364918,2.359533518296797,-15.719765313277174,-7.299744786139205,-9.8160850065434,-2.5525701866352435,-1.88341507650374,-4.599692208196732,6.935573229870368,-7.835444766278924,-1.9191886913924443,-0.5906425074922816,-0.05957685500849013,4.4578394112006166]
s3://ad-p8-24/Test/Pear Red/r2_138_100.jpg	Pear Red	[6.4492324970824075,3.7774051140442872,3.13968701482239,-7.114128577263438,6.6278613249150276,6.441644041545881,-4.5314098772042914,6.750468576245756,-6.240980873731675,3.0591953895339943,7.40614571819698,1.6742128818179103,-3.0521275119965106,7.010054157071501,2.487168726086581]
s3://ad-p8-24/Test/Raspberry/r_31_100.jpg	Raspberry	[-0.4656055101245367,0.0650569734692565,-3.1106240288025244,-14.527081627140031,-1.9588484342495838,-3.683210078539336,-1.5962763490547274,2.1526630865471237,-8.226306699400517,-5.977271064071758,1.0587608909552921,-0.6890893179096725,4.47314760255308,7.9308124304191825,2.5699480961446985]
s3://ad-p8-24/Test/Pineapple/r_214_100.jpg	Pineapple	[-7.56372148471901,5.3720639857820895,-2.0564279104774,-13.11041802736064,-11.38883429353638,-6.838015778476176,-2.6584251929545366,1.5106764532195114,-7.568303847721888,5.548209588629773,-6.070258507527894,-8.237295355976295,-1.6623847660014652,-5.021464463396237,-0.9004123693456707]
s3://ad-p8-24/Test/Pear Forelle/r_186_100.jpg	Pear Forelle	[3.5418003864267966,9.633197796143621,-1.4001133231503835,2.6097053142543514,5.073215076901251,0.2531061761335606,-2.889677105113712,-1.0090532522669837,3.7024872500066888,4.052930300480676,-1.699134927544474,3.230664878179355,-5.637756755621929,0.31621799406043993,0.17983448529614954]
s3://ad-p8-24/Test/Cantaloupe 2/r_241_100.jpg	Cantaloupe 2	[-3.8787326983791712,13.089991252627815,-6.4314920135712175,2.21670343793309,-2.2547213792480174,-1.9626519686616897,-12.970637245788737,-1.8661191722678434,5.0163617679553605,-3.8788946873240007,-5.242812376801062,6.515280730058392,3.9607163844015796,4.502640823540794,0.8860704059291941]
s3://ad-p8-24/Test/Cantaloupe 2/190_100.jpg	Cantaloupe 2	[-0.5115699518015457,14.441429747856137,-8.067538157953816,2.887364573437926,-2.5643162458374382,-4.876780121179036,-11.476348175106097,-4.139064437825574,2.352732249683239,-2.1193512828756744,-2.4718168100414615,3.5505549755111554,0.5065902833090085,7.188390207539,0.85888535927044]
