path	label	pca_feat
s3://ad-p8-24/Test/Watermelon/r_88_100.jpg	Watermelon	[-12.121301224487823,4.064236032098401,-7.643194343920453,-0.15988613554656672,1.9940176897945046,9.633394413150205,-8.575557541269388,12.925651660941005,-0.6000048795892745,-6.55837855801911,5.643552678759738,-7.410528983478408,8.58907615096471,10.021805204583911,11.436627490115553]
s3://ad-p8-24/Test/Watermelon/235_100.jpg	Watermelon	[-11.26584482014425,5.07636717687398,-4.890282512054952,-0.3819405478316205,2.7563589574095566,2.641094186503392,-3.2260787929795165,-2.2497551145965953,3.6122838140806817,-5.787529241546903,-4.4091995822103245,-7.0980320982899245,12.397658404596584,4.716631036848008,7.5231294081006155]
s3://ad-p8-24/Test/Cucumber Ripe/r_46_100.jpg	Cucumber Ripe	[-15.405627254715805,0.29672049250471927,1.3052389063480636,-0.8673611983112084,11.374753718662832,-0.9295183715286366,-7.200177284541282,0.5689333703321428,5.562399463971307,3.0431789711813217,2.847864663591624,-4.167386048675805,-3.9677072037184526,0.27556237841678666,1.8073538444845392]
s3://ad-p8-24/Test/Cauliflower/52_100.jpg	Cauliflower	[-9.229848654335182,4.223980866215113,2.261983054738098,-9.759446987700283,-12.803509720600298,1.9837191541397572,-3.7681637966507076,-0.7867032759261537,1.4101710999468609,10.47629782963924,-8.818120969599812,11.243007526274594,4.164110809841967,-6.532575898623106,8.760602030365744]
s3://ad-p8-24/Test/Apple Golden 1/117_100.jpg	Apple Golden 1	[-0.27586124912756305,12.783657127463492,-2.2785029454301173,0.962452009117589,-4.381097733117064,3.338351334801332,-4.670547077899911,-3.3367064538710896,2.0469638521488878,-0.24025380691290238,-2.566968682800724,4.362206392455956,6.33754960770885,-1.074414646993819,1.9211070261483292]
s3://ad-p8-24/Test/Cucumber Ripe/r_124_100.jpg	Cucumber Ripe	[-3.863089420153331,5.66255455627155,-4.211577715099905,-5.050276658655014,7.336197922698387,1.5617280265384088,-1.4455581862536921,-0.5102697034818376,0.4617443627348949,-1.1861057596388322,2.4944659333621906,-3.033794975804856,-0.9771895403629574,0.7861564210140586,-1.6470947186082248]
s3://ad-p8-24/Test/Pear 2/r_241_100.jpg	Pear 2	[6.854271837691561,14.137291541344284,3.6394997374980513,5.575368198440254,5.484412696044408,2.36566915607549,-0.197579325773895,5.229136521089969,-1.8629976507349046,3.467236818131621,-2.3092976616865237,0.0507420428561242,-5.596025968992175,3.39683301984824,-0.5729163777121794]
s3://ad-p8-24/Test/Lychee/96_100.jpg	Lychee	[-4.943422412421636,8.071227299462919,1.9639893088694764,-15.358819831655445,-7.6241380681443935,-9.033512691468406,-2.961250143305342,-2.194196158024616,-5.439972697161227,6.77237144407709,-5.829576605522262,-1.727404870015319,-0.6476639902026768,0.27894238676897914,4.055865970368339]
s3://ad-p8-24/Test/Nectarine/r_327_100.jpg	Nectarine	[10.211283804661043,4.118977781666808,0.7583978085184928,-8.46018380504193,6.752927961640019,0.09822693552625432,-1.6392337566013928,-1.7721078779695834,-7.038827754998918,-0.5566293415681368,1.870222898252849,2.052261736713989,3.3409580123395535,-0.7150104609164505,-2.2819329616500776]
s3://ad-p8-24/Test/Pear Red/r2_87_100.jpg	Pear Red	[9.542389539638275,3.4358641031929986,3.1348941659688068,-8.265157408064399,6.803587572915303,3.00413345251554,-1.20499855928868,-1.3885955645539432,-6.5818871014211755,0.3612187546896887,2.738974501923594,1.340942217921278,-0.7195875971130751,0.6578615606950078,1.669300502246042]
