path	label	pca_feat
s3://ad-p8-24/Test/Watermelon/269_100.jpg	Watermelon	[-13.679494461093968,8.184227019792603,-4.858717618489776,-1.920019974181156,0.8501636623780464,-0.01627870294478519,-5.8807752370278115,3.056937987685773,6.238022612049961,-8.077323409829676,-1.9350319393148474,-6.416339634133021,18.97329674964831,6.016343522024523,7.88303972630974]
s3://ad-p8-24/Test/Cauliflower/r2_231_100.jpg	Cauliflower	[-5.339457160852057,5.2743692480692905,-0.5673387980245047,-10.210443652626909,-12.451511493770669,-1.4526598195144058,-6.391696306410699,-2.495770212361952,-0.14240678623248412,9.307347355452462,-5.122520778294837,7.126086969757898,1.9183602840762057,-1.8344241600992155,4.569806618936326]
s3://ad-p8-24/Test/Raspberry/229_100.jpg	Raspberry	[-2.1921123592117193,0.2936154720114169,1.5514787026794683,-16.668608857238244,-5.634601852067911,-4.11641543241818,-0.9528179776724024,-6.96717961996621,-6.892364704862526,2.44716243510468,0.6403383870143649,-3.3658299436341683,5.824620578882834,6.503391374972879,2.7047076703847837]
s3://ad-p8-24/Test/Pineapple Mini/r_168_100.jpg	Pineapple Mini	[-10.075571758572512,4.471902481273367,3.1928386800869695,-13.124166673543874,-12.712734487755212,-1.5847336136879537,-0.86773437171615,10.469330449272872,-6.754417528938422,2.769240142036268,-9.427453039285504,-7.5830874105472565,-5.216347151037989,-7.245944850444102,1.6421007601280386]
s3://ad-p8-24/Test/Pineapple Mini/r_185_100.jpg	Pineapple Mini	[-14.527938508278954,4.292866122205316,3.7486145326136837,-12.358426776923867,-14.946368603773385,-2.375346873770648,-2.7744199092353607,12.21884643764402,-3.9186268492801175,2.3105311345280826,-9.795671842839301,-7.222320108801534,-7.77769501319734,-8.43146140258483,-0.1418327909807549]
s3://ad-p8-24/Test/Pineapple Mini/23_100.jpg	Pineapple Mini	[-8.815312718436928,4.4537122220471534,3.0166975033135857,-11.8963208752867,-13.945605107816904,-1.0368651905346606,-5.306946134844666,6.355408880034605,-6.5870672767825535,7.014702032930717,-6.788810434735267,-5.12002044295501,-5.853433029343503,-9.120343998336429,2.1343814279035174]
s3://ad-p8-24/Test/Raspberry/203_100.jpg	Raspberry	[-0.24546845399139966,-0.1665705994919705,1.423807813755834,-16.315598152097383,-5.59203540373737,-2.0580040559816046,-0.3915889349237743,-5.93072734316401,-6.446403376556015,1.8186333124648828,-0.5320734313498052,-1.3822896838712735,5.936352289927735,5.118149672229369,5.207315053664145]
s3://ad-p8-24/Test/Apple Golden 1/126_100.jpg	Apple Golden 1	[-0.48020759235218685,11.961511034321045,-1.0168459899926114,3.0866703334967274,-5.340864655943452,3.3385852575209514,-7.321919070288835,-3.774256116069989,1.1977064787234275,-0.6794586188260657,-3.6359523636274864,3.9622252547627372,4.765662469508751,-1.415873953580429,3.41897703274426]
s3://ad-p8-24/Test/Onion White/r_184_100.jpg	Onion White	[-13.267500177483754,-0.6752667203245436,1.0036538378749305,-6.616111621480872,2.990484948027278,16.105764913948608,-6.253104191844541,12.009055112737174,1.6113027680698435,-5.23509015107801,3.8437971794443175,-5.9103583435926295,0.4876722980565527,3.453758003906143,7.137905966942862]
s3://ad-p8-24/Test/Cucumber Ripe/r_203_100.jpg	Cucumber Ripe	[-10.890508445971756,-0.8196634246834137,-2.256470090551162,-1.2773954423553084,5.29951949315233,2.6020658211795027,-8.312394857584998,-5.321242790929423,2.6767183307369815,0.9434112373824783,1.794629710766205,-6.224662629692835,-3.1286186094376385,2.002407158582963,1.142378592278448]
s3://ad-p8-24/Test/Apple Golden 1/142_100.jpg	Apple Golden 1	[-1.0672600738131874,16.60133346707366,-2.3905568489584414,4.968085913347562,-2.521096653673134,1.6363283512164166,-5.5491241350207305,-2.9795932712830533,2.310096456169343,-1.009135529763455,-6.178534490306269,3.8294118317126156,1.7360776436062202,0.7528247952550712,1.3955843289621859]
