path	label	pca_feat
s3://ad-p8-24/Test/Pineapple Mini/266_100.jpg	Pineapple Mini	[-7.026815649961967,4.699067676305946,4.724745325023151,-14.5854955120314,-12.929136398143086,-2.3819000183155317,-2.256418015493046,6.72331136531507,-7.388816159373738,7.353999036197083,-7.462368921439927,-4.916046600569649,-3.442472920587482,-8.67293549862007,3.322275232702363]
s3://ad-p8-24/Test/Raspberry/247_100.jpg	Raspberry	[-2.3523046631803015,0.6963484275279725,1.6883747883346714,-18.492464057389764,-3.3093129660813303,-5.560096401552589,-0.5830242721067476,-4.718373512056099,-6.011278946834939,1.0429129395785,-1.6183404362375375,-1.9302632922577516,6.638086769056872,6.69265798325863,3.4767965256421722]
s3://ad-p8-24/Test/Cauliflower/r_230_100.jpg	Cauliflower	[-13.856689610143274,2.4287627615631946,1.816659416944863,-9.026037305370885,-13.601136544848229,3.2822853629220723,-5.621669098809664,-1.7875270127437424,2.2605886629071072,9.053698392235397,-8.35534067002651,9.242293961999618,4.764180913906488,-6.198338743269815,5.828394334811502]
s3://ad-p8-24/Test/Cucumber Ripe/r_170_100.jpg	Cucumber Ripe	[-10.447868576861188,1.0464022443788812,0.45342249880489127,-1.4129240211392013,10.487690205705805,-1.9468459662142306,-8.289116253364616,1.4787375315568643,5.638535668250264,2.490961283553007,3.987566084244678,-6.4480632988451125,-1.1536003222225204,3.7808830970967424,2.0657768304242494]
s3://ad-p8-24/Test/Cauliflower/r2_188_100.jpg	Cauliflower	[-3.367795312919143,4.9674849307135105,3.279889129029386,-10.573914685999723,-12.468845249184096,-1.7357384716396382,-3.1866750278846414,-2.2841463239461786,-2.4845096906501287,10.784628168266824,-5.16015546238738,8.197482806939135,2.059038505990505,-4.030131032191354,7.871244417593467]
s3://ad-p8-24/Test/Onion White/r_5_100.jpg	Onion White	[-12.684854060483246,-0.4118407228055011,3.0656507445698478,-3.413806365402702,4.159665610621326,16.01140168972549,-6.3243347244927826,15.1254710699763,3.9082737477434284,-3.5552102327163606,5.503758734712787,-7.674037896171866,-3.4966581630915,3.5456023555359892,8.0611830588001]
s3://ad-p8-24/Test/Lychee/13_100.jpg	Lychee	[-6.378612524761307,5.9438325281289135,1.10322883035617,-16.42029123183548,-6.604675272787259,-10.870970738773584,-2.7150186758911867,-2.0406548789076044,-4.696181784544336,2.3790980559932513,-5.306028470119732,-1.9612926527205283,-2.622935562344031,1.5754254429396344,4.688182079571714]
s3://ad-p8-24/Test/Lychee/71_100.jpg	Lychee	[-5.758324767613952,6.068254867913725,1.9439555074802017,-15.477897464391809,-8.02744533918878,-10.253532037560124,-2.158072508077496,-0.5921938148876168,-3.95274509688508,6.322368414757249,-4.521713923187655,-3.677394157050951,-2.0584709185494563,0.7552181045991007,3.6494327629651706]
s3://ad-p8-24/Test/Cantaloupe 1/r_126_100.jpg	Cantaloupe 1	[5.11092828360577,7.430748387107391,4.102383662819365,2.655502536526228,-4.366860524831956,-0.8580340828866553,-4.1767091517965715,3.1040758360125773,-0.3627932917382944,3.1774648958870686,6.350971846446972,1.47339727786388,0.047133523787790337,1.446389298119128,0.4199970671583639]
s3://ad-p8-24/Test/Pear 2/r_267_100.jpg	Pear 2	[10.3445492647583,7.8662392520363165,3.089527280483396,1.307945194832347,5.695253294095091,-0.8855477815709689,-1.2339504088520723,1.4723729889105164,-1.6728481526108707,3.4542922462771193,-0.43824767020301625,0.8664002537985318,-1.4007391364965713,1.4427587620301208,-0.15624908625404949]
s3://ad-p8-24/Test/Pear Forelle/r_129_100.jpg	Pear Forelle	[2.244331311857678,13.962362326976345,0.657567876105419,3.2227285999377675,7.4495877775804376,-0.011259092264553256,1.3422542232086563,3.942080683522982,0.33638130147146084,5.93295860101355,-3.269945512079822,3.437935427775514,-8.546159076207903,6.611629953023341,-0.07427820103592103]
s3://ad-p8-24/Test/Cantaloupe 2/181_100.jpg	Cantaloupe 2	[-0.3203883042069167,14.909337948528853,-6.832136866120433,3.5655781955631785,-2.2269512303624692,-6.988409584855158,-10.4267197812677,-4.226535200440393,3.9114240665681552,-1.7813217020670307,-1.952172185670583,3.3237854387186627,1.0233328161099655,7.348552229748228,0.32267643134896423]
s3://ad-p8-24/Test/Nectarine/57_100.jpg	Nectarine	[9.645192777767011,2.399737350823149,0.45251054001944374,-8.422249454225009,6.599924013894504,-4.102218678653536,0.46153257780416174,-3.1068917053351166,-5.635344241274309,-2.6605468957117884,3.2113732680451657,5.275201482262958,3.0209082615510043,-1.3314341275846187,-1.5712945599107218]
s3://ad-p8-24/Test/Pear Red/r_128_100.jpg	Pear Red	[6.077936797994314,2.3739838545584524,2.320146365396287,-5.99742080914997,7.497700909516466,5.216200768424087,-3.0661642332400727,3.0452219879459874,-6.617088165071728,0.870123354364629,7.945339971402359,2.3555875693163957,-2.0650890932669688,6.590095778852785,3.141320026671905]
s3://ad-p8-24/Test/Orange/80_100.jpg	Orange	[11.163807972824529,6.738978847675869,4.415905989727628,-1.8835712878345106,-2.371246623742781,-5.663201204182282,0.0035641056527449906,-1.1916262650529785,0.8830686163891399,0.44397153765756114,9.661831389560668,3.000973787558071,1.3946819199114133,-4.492034362562785,-1.3738677076925199]
s3://ad-p8-24/Test/Orange/4_100.jpg	Orange	[10.986939085183606,5.9542882078043675,3.699477116733463,-2.6001224458233474,-1.2748886516010993,-4.2732797726025185,-0.9809699894874094,-1.719529166442465,-0.3400957965969335,-0.2845538618872611,8.98025036103081,2.3350182352108617,0.6757160128805111,-4.391505558233534,-0.5754519636741464]
s3://ad-p8-24/Test/Pomegranate/69_100.jpg	Pomegranate	[8.659133958076648,2.1846640073005883,-3.609866506364731,-7.8288158664373855,9.400789000966801,-4.010327573049992,2.615403471944619,-1.1835318962501422,-6.980265585408548,-5.025142188218203,-0.7344273215315191,4.78259719998802,1.5955063188182685,-1.0439734696787555,-3.9134314706587103]
s3://ad-p8-24/Test/Mandarine/195_100.jpg	Mandarine	[5.934922038392156,11.821723071163941,3.7434540090568036,-4.491848208618667,-1.9621634147458358,-1.991873434169354,-1.2817769253835807,-2.1843369258754,1.6336783585546784,-2.504593025832761,8.444024378101178,5.573053575892714,2.8378703225592234,-4.890570634737432,-1.4425693652420641]
s3://ad-p8-24/Test/Limes/184_100.jpg	Limes	[5.149014245535378,12.900215559241529,2.558988266181389,-1.6116899411608727,-5.278201546224343,-1.667301240349155,1.2621527220353073,-3.037086120603802,-0.9181838180109012,3.135120618079608,5.004690347383113,5.858199782968414,2.7252697213119492,0.7901172710201217,0.33252400115375025]
s3://ad-p8-24/Test/Pomegranate/63_100.jpg	Pomegranate	[7.374586509152114,2.9844731454185958,-1.9886193714514997,-8.635594920810059,9.38238194361848,-3.597654862599285,2.180003294687573,-0.7943642842113149,-7.077104643809546,-4.352408707363053,0.24481212396154114,5.023891192310822,3.218973955451104,0.3835796431143318,-0.4749027751117245]
s3://ad-p8-24/Test/Mandarine/196_100.jpg	Mandarine	[6.625586677884543,11.012392051026337,3.7299337903001164,-4.489654040590373,-3.672895775470496,-1.6719482012810511,-2.049221917806488,-3.2063453295443374,1.0477042137946668,-2.938056195088545,8.974205972918371,4.994332292095991,2.5414997372530412,-4.3823662409838064,-1.0992080006400466]
s3://ad-p8-24/Test/Limes/126_100.jpg	Limes	[6.61642906649591,11.453605525925365,2.3819426695458676,0.1293474709583296,-6.3595546014028,-0.007250359389927915,1.4036680153756538,-1.9173285939556306,-2.224940291580766,1.6670902685711517,3.1122300208654905,4.3008808789124515,2.826026162565931,0.2876740187289964,-0.16069174049606222]
s3://ad-p8-24/Test/Walnut/103_100.jpg	Walnut	[-5.9595531092178,8.189606806112295,-12.03041287441835,2.0330645635822804,-0.13905058769125753,6.916086243147188,-10.798290181119018,-1.7674433147617394,-0.502489986645769,0.05528876767328947,0.6914511296757905,4.809194614870706,1.8363469057720156,-3.7316100324519903,1.4093078033348363]
s3://ad-p8-24/Test/Plum/7_100.jpg	Plum	[-4.360002008211553,5.401302661738404,-16.06436525713831,-3.2653916904070153,0.9106615127413463,4.152330478382697,0.02831766714222124,-1.2011524504296243,-1.2079186434585325,-1.3485435385293736,3.0022526346812874,-1.2191676948557881,3.8064711750703664,-1.3847628156857599,-5.907656035265588]
s3://ad-p8-24/Test/Pepper Orange/r_132_100.jpg	Pepper Orange	[1.9211186931122317,-6.116173246679001,7.19641709414028,-2.3614316776733086,-4.123540689824354,14.233621498443663,-3.324675272120935,7.457720552331963,6.340650752841388,0.7642218290391568,8.130695128284104,0.07675731662637812,-10.937759105482021,6.937257612573417,-2.355311424195058]
s3://ad-p8-24/Test/Apple Crimson Snow/r_118_100.jpg	Apple Crimson Snow	[12.775091791745782,1.2875547985434086,2.032555751417891,-3.7041835249236787,4.252674843576523,1.328804163963877,0.022392793293268192,-0.23378680524503942,-5.33331480516992,2.6579777255771546,-0.2871492248471898,-0.15430049935917428,-0.2824801742734865,-1.024026337965423,-1.804875444524095]
s3://ad-p8-24/Test/Pepper Yellow/r_206_100.jpg	Pepper Yellow	[-7.051725912785629,-10.39294388164406,10.669194076745672,-3.05899935853475,-11.573183904629957,8.496493392095479,-1.1075153189482023,-3.020438875678365,8.150539252684185,-0.06964818219586859,8.817351908393563,3.6572127432350086,-9.274404607945433,6.940644087857296,-5.304273317487943]
s3://ad-p8-24/Test/Apple Red 3/r_62_100.jpg	Apple Red 3	[2.435729742352078,2.1164356506774866,-4.490158075173492,-4.545072182178676,7.5983345785251375,-1.6735605718231041,3.3944517835311823,-2.4642033013390625,-0.9299243507099928,-5.0373437782983945,-4.922447134936333,2.325564782047755,-3.1530696877450226,-4.193599534969418,-2.5179038703777197]
s3://ad-p8-24/Test/Apple Golden 1/r_50_100.jpg	Apple Golden 1	[3.4493108479214825,11.314258057908173,0.015667107966953975,3.733205348752017,-4.95671205109099,8.44423937666353,-1.272839802552962,1.0611910669033902,0.9123837580412637,-0.6344458265784644,-5.91851594240042,-1.6491937766268112,0.18290242506690985,0.9695675340030726,1.187016062119295]
s3://ad-p8-24/Test/Pear Red/224_100.jpg	Pear Red	[4.344940489401433,6.636322901099458,6.934050600264821,-7.2056849064295,8.89992928477723,1.572486253688126,0.5347534055291326,-4.866725452759902,-1.759088656090142,6.160913363637085,4.0295752407055065,1.0635723232619576,-0.7644558773050218,0.7030896106103405,3.4384021518087073]
s3://ad-p8-24/Test/Apple Red 3/76_100.jpg	Apple Red 3	[5.938333025520692,6.528723751039558,-2.8644254973363146,-4.944887833994104,6.014450124941591,-1.2164830908366815,2.806357518942967,-3.25062688317614,-3.5600909369950986,-5.748885228678508,-1.2534513923078567,3.28772621709247,-0.6694790839314771,-2.0735620502951924,-1.993188612356181]
