path	label	pca_feat
s3://ad-p8-24/Test/Watermelon/r_105_100.jpg	Watermelon	[-11.332407714448939,4.889878672817463,-4.568429855748481,-1.3645733080937656,-0.8273725301695466,9.043188294405176,-3.9631550571900296,9.431375669630974,3.3968166820726307,-3.2598145975515656,0.10733158421586372,-3.254913720738408,7.793435929118529,7.12340500231782,9.215409610871927]
s3://ad-p8-24/Test/Cauliflower/r_175_100.jpg	Cauliflower	[-6.493179377579832,6.556929996322714,2.51325309918174,-11.77213149622922,-13.029726588244445,-2.0155957865872085,-4.924727493244959,-2.6807134078243284,-0.7634949780631068,12.3151526549014,-8.55370889212552,7.91678368511352,4.611269357622618,-3.927266165603873,8.318594116518405]
s3://ad-p8-24/Test/Onion White/r_188_100.jpg	Onion White	[-11.51554484827789,-1.2826691029083586,0.4911575223834853,-5.2572725091721875,4.455141682289379,14.750492762714154,-5.74386540397631,14.27009583337237,1.163435316909823,-5.161131390954918,4.352447349046885,-7.077319348430075,0.06808990900333732,3.3020693561761623,8.314964264769952]
s3://ad-p8-24/Test/Cucumber Ripe/r_202_100.jpg	Cucumber Ripe	[-12.615715809952837,0.5805747216889867,0.357982953277449,-1.005185745105218,4.02385625219711,1.5485852510747213,-6.620970467883815,-2.7032828758882648,2.5786370737258126,1.6785951954509601,0.15531306157769798,-5.826067642111663,-3.1765036214296813,0.9874431517457498,0.9400713097658094]
s3://ad-p8-24/Test/Pineapple Mini/r_33_100.jpg	Pineapple Mini	[-19.523628479445815,4.746222396116175,-0.4626694953672641,-12.98156717322029,-14.108053140779019,-1.277337724377743,-8.195104508892976,13.580064471165619,-3.273549288029791,4.002058652681988,-9.605650318180327,-0.32943217094127675,-1.432877919039214,-10.768290920007587,-3.3343033156457684]
s3://ad-p8-24/Test/Pineapple Mini/r_48_100.jpg	Pineapple Mini	[-12.764890353762224,6.292143523100116,0.5469958243523686,-13.500729872013384,-12.925191809941802,-2.112093497230076,-4.300446548590584,11.20497178774606,-5.9818628751517124,5.099559801178158,-8.832150145212113,-1.025775971007693,0.1733563680511104,-7.893399886004577,-1.222472731041305]
s3://ad-p8-24/Test/Lychee/80_100.jpg	Lychee	[-7.2641555569557745,7.246704933240936,3.0913620028188697,-16.537862271432665,-8.220451353534594,-11.071845145865977,-2.081126594765463,-0.5744983293809265,-4.695573296812646,7.642059897808311,-6.6206748389311185,-2.76501471970953,-1.3372003282149285,0.3394894884386826,4.076953990055986]
s3://ad-p8-24/Test/Cantaloupe 1/r_129_100.jpg	Cantaloupe 1	[5.006800551563342,8.822260747735791,3.372052923507481,2.562947834459876,-4.448112856251634,-0.4821605773784887,-5.622650225775483,2.8553802460105793,-0.3708561162289677,1.530149610234184,5.05027969793021,2.131270303257242,0.25977372168517165,0.9732586717706015,-0.06522436257920447]
s3://ad-p8-24/Test/Lychee/r_311_100.jpg	Lychee	[-8.0774840677117,6.304938601722046,-2.255835582133226,-13.253451734633416,-3.1537995940128383,-14.184604507101582,-5.873752786699295,3.025024268436637,-2.0492683504028215,0.6455535388876524,-4.205854469863621,-0.08600831583256897,-6.440892136598829,1.7314201994896248,2.859794886227721]
s3://ad-p8-24/Test/Pineapple/r_209_100.jpg	Pineapple	[-9.368837231757178,5.69992091781594,0.057592753201573116,-13.357766691076778,-12.48804958899219,-5.406831150821354,-2.6408120854848107,2.8238972685861468,-7.962534772294589,5.931156791333221,-8.471538887118452,-7.875356624912583,0.13550355887118942,-7.237925787481739,-0.2905447716792353]
